Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,ATH_Sales,ATH_Sales_Flag,Signal
TICL,Twamev Construction and Infrastructure Limited,Industrials,Engineering & Construction,10.569999694824219,False,7.630000000000001,False,False,-68.93,-67.8,False,708.0,False,EXIT
INDOWIND,Indowind Energy Limited,Utilities,Utilities - Renewable,8.979999542236328,False,14.91,True,False,-45.12,-52.31,False,38.81,False,EXIT
AARTECH,Aartech Solonics Limited,Industrials,Electrical Equipment & Parts,47.0,False,4.4,True,False,-29.44,-28.4,False,36.35,True,EXIT
LAL,Lorenzini Apparels Limited,Consumer Cyclical,Apparel Manufacturing,8.779999732971191,False,4.35,False,True,-28.11,-20.06,False,,False,EXIT
BRNL,Bharat Road Network Limited,Industrials,Infrastructure Operations,17.790000915527344,False,96.43,False,False,-15.28,-14.27,False,401.0,False,EXIT
MCL,M Tek Copper Limited,Basic Materials,Copper,58.310001373291016,False,3.67,False,False,16.57,16.89,True,,False,EXIT
RELIABLE,Reliable Data Services Limited,Technology,Information Technology Services,147.1199951171875,False,8.35,False,True,81.72,81.88,True,131.0,True,HOLD
HPIL,Hindprakash Industries Limited,Basic Materials,Specialty Chemicals,129.4499969482422,False,2.74,False,False,-3.63,-3.25,False,103.61,False,EXIT
WIPL,The Western India Plywoods Limited,Basic Materials,Lumber & Wood Production,168.0500030517578,False,2.7,False,True,5.73,6.08,True,116.0,True,HOLD
INDBANK,Indbank Merchant Banking Services Limited,Financial Services,Capital Markets,32.959999084472656,False,7.65,False,False,-3.37,-2.03,False,,False,EXIT
ISHANCH,Ishan Dyes and Chemicals Limited,Basic Materials,Chemicals,49.540000915527344,False,10.63,False,False,-21.46,-21.03,False,101.43,True,EXIT
HECPROJECT,HEC Infra Projects Limited,Industrials,Engineering & Construction,132.75,False,12.58,False,True,-14.08,-13.08,False,,False,EXIT
KEYFINSERV,Keynote Financial Services Limited,Financial Services,Capital Markets,248.60000610351562,False,27.44,True,False,-9.21,-7.85,False,25.32,False,EXIT
PRAENG,Prajay Engineers Syndicate Limited,Real Estate,Real Estate - Development,19.899999618530273,False,18.64,True,False,20.68,4.2,True,109.0,False,HOLD
INDTERRAIN,Indian Terrain Fashions Limited,Consumer Cyclical,Apparel Retail,31.700000762939453,False,10.030000000000001,False,False,-23.45,-15.42,False,,False,EXIT
ALPA,Alpa Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,68.08999633789062,False,15.16,False,False,-44.12,-33.63,False,112.0,False,EXIT
BALPHARMA,Bal Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,89.2300033569336,False,6.28,False,True,-15.64,-5.34,False,339.0,False,EXIT
ALPHAGEO,Alphageo (India) Limited,Energy,Oil & Gas Equipment & Services,230.63999938964844,False,15.520000000000001,False,True,-15.59,-7.23,False,429.0,False,EXIT
SECMARK,SecMark Consultancy Limited,Industrials,Consulting Services,127.1500015258789,False,8.13,True,True,-10.19,-9.19,False,35.11,True,HOLD
DGCONTENT,Digicontent Limited,Communication Services,Internet Content & Information,25.81999969482422,False,20.03,True,False,-19.84,-37.63,False,20.0,False,EXIT
RUCHINFRA,Ruchi Infrastructure Limited,Industrials,Specialty Business Services,5.820000171661377,False,10.93,False,False,-26.77,-25.73,False,2636.0,False,EXIT
DTIL,Dhunseri Tea & Industries Limited,Consumer Defensive,Packaged Foods,132.91000366210938,False,73.52999999999999,True,False,-30.44,-34.11,False,456.0,True,EXIT
CORALFINAC,Coral India Finance and Housing Limited,Real Estate,Real Estate Services,32.81999969482422,False,14.779999999999998,False,False,-14.38,-30.4,False,,False,EXIT
ONELIFECAP,Onelife Capital Advisors Limited,Financial Services,Capital Markets,32.88999938964844,False,18.82,True,True,169.06,169.6,True,6.41,False,HOLD
MAGNUM,Magnum Ventures Limited,Basic Materials,Paper & Paper Products,19.31999969482422,False,24.94,True,False,-22.64,-22.2,False,396.0,True,EXIT
INDIANCARD,The Indian Card Clothing Company Limited,Consumer Cyclical,Textile Manufacturing,219.99000549316406,False,11.690000000000001,False,False,-34.04,-25.97,False,85.0,False,EXIT
ISFT,IntraSoft Technologies Limited,Consumer Cyclical,Internet Retail,77.9000015258789,False,13.28,False,False,-31.59,-23.53,False,1170.0,False,EXIT
BALAXI,Balaxi Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,24.31999969482422,False,1.41,False,False,-62.01,-51.4,False,336.0,False,EXIT
CALSOFT,California Software Company Limited,Technology,Software - Application,22.010000228881836,False,14.63,True,True,59.47,59.77,True,10.86,False,HOLD
SHAHALLOYS,Shah Alloys Limited,Basic Materials,Steel,70.79000091552734,False,65.04,False,True,18.22,18.54,True,880.0,False,HOLD
MITCON,MITCON Consultancy & Engineering Services Limited,Industrials,Engineering & Construction,79.31999969482422,False,8.09,True,True,4.17,5.13,True,129.0,False,HOLD
SAMPANN,Sampann Utpadan India Limited,Basic Materials,Specialty Chemicals,27.520000457763672,False,6.98,True,False,-14.52,-14.11,False,93.0,True,EXIT
NARMADA,Narmada Agrobase Limited,Basic Materials,Agricultural Inputs,13.890000343322754,False,3.86,False,False,18.66,18.98,True,,False,EXIT
AIROLAM,Airo Lam Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",89.2699966430664,False,3.87,False,False,-28.76,-20.71,False,211.0,True,EXIT
BTML,Bodhi Tree Multimedia Limited,Communication Services,Entertainment,8.010000228881836,False,6.91,False,True,11.83,-6.44,False,89.0,True,EXIT
URAVIDEF,Uravi Defence and Technology Limited,Consumer Cyclical,Auto Parts,110.02999877929688,False,1.43,False,False,-90.69,-82.48,False,41.99,False,EXIT
CROWN,Crown Lifters Limited,Industrials,Rental & Leasing Services,111.80999755859375,False,8.9,False,False,-31.17,-30.12,False,,False,EXIT
BSL,BSL Limited,Consumer Cyclical,Textile Manufacturing,123.52999877929688,False,4.359999999999999,False,False,-26.78,-18.74,False,,False,EXIT
SALONA,Salona Cotspin Limited,Consumer Cyclical,Textile Manufacturing,245.10000610351562,False,4.300000000000001,False,False,-11.63,-3.62,False,,False,EXIT
MUKTAARTS,Mukta Arts Limited,Communication Services,Entertainment,57.0,False,11.81,True,False,-10.43,-28.36,False,308.0,False,EXIT
JOCIL,Jocil Limited,Basic Materials,Specialty Chemicals,147.0,False,8.290000000000001,False,True,-16.03,-15.61,False,919.0,False,EXIT
SURANASOL,Surana Solar Limited,Technology,Solar,26.56999969482422,False,6.760000000000001,True,False,-18.98,-18.19,False,92.55,False,EXIT
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,Financial Services,Credit Services,44.380001068115234,False,64.42,False,False,-63.27,-61.66,False,10.0,False,EXIT
