Symbol,Live_Price,Price_As_Of
CESC,165.52000427246094,2026-08-10T06:06:12+00:00
CEWATER,275.8500061035156,2026-08-10T06:06:12+00:00
CGCL,233.69000244140625,2026-08-10T06:06:12+00:00
CGPOWER,879.0,2026-08-10T06:06:12+00:00
CHALET,836.0,2026-08-10T06:06:12+00:00
CHAMBLFERT,451.0,2026-08-10T06:06:12+00:00
CHEMBOND,176.10000610351562,2026-08-10T06:06:12+00:00
CHEMBONDCH,243.8000030517578,2026-08-10T06:06:12+00:00
CHEMCON,194.8000030517578,2026-08-10T06:06:12+00:00
CHEMFAB,378.0,2026-08-10T06:06:12+00:00
CHEMPLASTS,178.97000122070312,2026-08-10T06:06:12+00:00
CHENNPETRO,1239.0,2026-08-10T06:06:12+00:00
CHEVIOT,1166.300048828125,2026-08-10T06:06:12+00:00
CHOICEIN,839.9000244140625,2026-08-10T06:06:12+00:00
CHOLAFIN,1895.9000244140625,2026-08-10T06:06:12+00:00
CHOLAHLDNG,1618.0,2026-08-10T06:06:12+00:00
CIEINDIA,412.6000061035156,2026-08-10T06:06:12+00:00
CIFL,21.969999313354492,2026-08-10T06:06:12+00:00
CINELINE,90.0999984741211,2026-08-10T06:06:12+00:00
CINEVISTA,14.979999542236328,2026-08-10T06:06:12+00:00
CIPLA,1464.199951171875,2026-08-10T06:06:12+00:00
