Symbol,TTM_Net_Profit,Max_Annual_Net_Profit,TTM_Net_Sales,Max_Annual_Net_Sales
CGPOWER,1240.0,1428.0,12821.0,12418.0
CHALET,528.0,645.0,2387.0,2770.0
CHAMBLFERT,1928.0,1953.0,20123.0,27773.0
CHEMBOND,15.0,156.0,265.0,440.0
CHEMBONDCH,38.0,35.0,347.0,440.0
CHEMCON,28.0,63.0,253.0,303.0
CHEMFAB,-0.0,65.0,293.0,334.0
CHEMPLASTS,-391.0,649.0,4249.0,5892.0
CHENNPETRO,4174.0,3532.0,76197.0,76271.0
CHEVIOT,68.0,79.0,598.0,571.0
CHOICEIN,251.0,238.0,1194.0,1119.0
CHOLAFIN,5751.0,5233.0,32663.0,31120.0
CHOLAHLDNG,6015.0,5485.0,40890.0,39156.0
CIEINDIA,903.0,1125.0,9997.0,9406.0
CIFL,27.0,31.0,532.0,680.0
CINELINE,12.0,12.0,251.0,237.0
CINEVISTA,6.11,6.1,26.83,59.02
CIPLA,3356.0,5269.0,28324.0,28163.0
CLCIND,-48.0,2.0,109.0,1638.0
CLEAN,233.0,295.0,982.0,967.0
CLEANMAX,157.0,86.0,2343.0,1913.0
CLEDUCATE,-24.0,23.0,530.0,548.0
CLSEL,125.0,118.0,1478.0,1495.0
CMLL,,,,
CMPDI,,,,
CMRGREEN,,,,
CMSINFO,293.0,372.0,2494.0,2487.0
CNL,74.0,70.0,2787.0,2705.0
COALINDIA,31186.0,37369.0,157856.0,169177.0
COASTCORP,32.0,38.0,1041.0,971.0
COCHINSHIP,680.0,827.0,5047.0,5022.0
COCKERILL,12.0,35.0,548.0,667.0
COFFEEDAY,191.0,1849.0,1136.0,4142.0
COFORGE,1920.0,1745.0,18195.0,16403.0
COHANCE,59.0,454.0,2142.0,2269.0
COLPAL,1348.0,1437.0,6204.0,6040.0
COMFINTE,-3.0,17.0,156.0,155.0
COMPINFO,,,,
COMPUSOFT,2.91,12.72,33.43,70.32
COMSYN,30.0,26.0,406.0,387.0
CONCOR,1247.0,1292.0,9085.0,9079.0
CONCORDBIO,273.0,372.0,1108.0,1200.0
CONFIPET,139.0,105.0,6001.0,4705.0
CONSOFINVT,450.0,443.0,26.0,210.0
CONTROLPR,39.0,100.0,486.0,482.0
CORALFINAC,14.0,21.0,15.0,31.0
CORDELIA,,,,
CORDSCABLE,25.0,21.0,975.0,954.0
COROMANDEL,1778.0,2055.0,32602.0,31480.0
CORONA,199.0,185.0,1479.0,1403.0
COSMOFIRST,167.0,397.0,4004.0,3639.0
COUNCODOS,0.62,2.53,18.04,45.27
CPCAP,45.0,43.0,76.0,105.0
CPEDU,24.0,23.0,51.0,51.0
CPL,28.0,31.0,429.0,417.0
CPPLUS,477.0,368.0,4883.0,4221.0
CRAFTSMAN,465.0,384.0,8717.0,8069.0
CRAMC,218.0,204.0,478.0,454.0
CREATIVEYE,-4.57,0.53,0.72,28.93
CREDITACC,1211.0,1446.0,6380.0,6059.0
CREST,34.0,396.0,126.0,651.0
CRISIL,884.0,766.0,4126.0,3649.0
CRIZAC,220.0,219.0,1034.0,1042.0
CROMPTON,-212.0,617.0,8332.0,8096.0
CROWN,9.03,18.98,42.67,39.72
CSBBANK,665.0,633.0,4752.0,4505.0
CSLFINANCE,87.0,86.0,267.0,256.0
CSM,,,,
CTE,7.0,19.0,179.0,206.0
CUB,1403.0,1326.0,7249.0,6870.0
CUBEXTUB,8.0,7.0,303.0,288.0
CUMMINSIND,2367.0,2362.0,12662.0,12143.0
CUPID,137.0,108.0,453.0,358.0
CURAA,-1.75,0.0,0.74,6.33
CYBERMEDIA,4.0,5.0,128.0,103.0
CYBERTECH,32.0,35.0,247.0,237.0
CYIENT,414.0,703.0,7632.0,7360.0
CYIENTDLM,82.0,73.0,1357.0,1520.0
DABUR,1947.0,1869.0,13552.0,13193.0
DAICHI,2.0,51.0,180.0,194.0
DALBHARAT,953.0,1183.0,15058.0,14804.0
DALMIASUG,203.0,366.0,3525.0,3725.0
DAMCAPITAL,73.0,104.0,236.0,250.0
DAMODARIND,6.0,18.0,480.0,909.0
DANGEE,-1.41,2.15,29.69,38.32
DATAMATICS,217.0,206.0,2034.0,1987.0
DATAPATTNS,268.0,271.0,941.0,925.0
DAVANGERE,8.0,13.0,249.0,280.0
DBCORP,352.0,426.0,2400.0,2463.0
DBEIL,28.0,60.0,538.0,579.0
DBL,1255.0,1398.0,8741.0,12012.0
DBOL,84.0,111.0,2036.0,2408.0
DBREALTY,12.0,1317.0,864.0,1593.0
DBSTOCKBRO,2.96,9.05,31.03,48.25
DCAL,16.0,210.0,2901.0,2932.0
DCBBANK,788.0,732.0,7575.0,7404.0
DCI,22.0,21.0,756.0,737.0
DCM,1.22,30.17,74.38,961.69
DCMFINSERV,-0.96,2.1,0.0,3.96
DCMNVL,28.0,123.0,1062.0,1081.0
DCMSHRIRAM,1436.0,1067.0,13840.0,13538.0
DCMSIL,-17.0,63.0,446.0,574.0
DCMSRIND,61.0,122.0,1990.0,2351.0
DCW,71.0,192.0,2210.0,2634.0
DCXINDIA,-20.0,76.0,624.0,1424.0
DDEVPLSTIK,213.0,202.0,3168.0,2948.0
DECCANCE,10.0,29.0,704.0,636.0
DECNGOLD,-45.0,-2.0,14.0,14.0
DEEDEV,80.0,77.0,1213.0,1142.0
DEEPAKFERT,985.0,1221.0,12104.0,11506.0
DEEPAKNTR,783.0,1067.0,8575.0,8282.0
DEEPINDS,224.0,197.0,970.0,891.0
DELHIVERY,93.0,162.0,11145.0,10508.0
DELPHIFX,,,,
DELTACORP,-157.0,262.0,673.0,964.0
DELTAMAGNT,-11.0,19.0,67.0,124.0
DEN,147.0,236.0,976.0,1307.0
DENORA,12.0,20.0,115.0,122.0
DENTA,54.0,61.0,242.0,250.0
DEVIT,76.0,76.0,191.0,190.0
DEVX,10.0,9.0,224.0,226.0
DEVYANI,-28.0,263.0,5835.0,5611.0
DGCONTENT,1.0,24.0,502.0,489.0
DHAMPURSUG,71.0,251.0,1999.0,4157.0
DHANBANK,115.0,103.0,1683.0,1601.0
DHANUKA,268.0,297.0,1953.0,2035.0
DHARAN,-35.0,20.0,6.0,129.0
DHARMAJ,60.0,55.0,1153.0,1138.0
DHRUV,-35.0,7.0,37.0,102.0
DHUNINV,163.0,652.0,448.0,2805.0
DIACABS,193.0,143.0,2298.0,3153.0
DIAMINESQ,-10.0,42.0,41.0,110.0
DIAMONDYD,12.0,53.0,1806.0,1725.0
DICIND,29.0,86.0,980.0,892.0
DIFFNKG,55.0,50.0,436.0,407.0
DIGIDRIVE,5.75,7.91,46.8,49.78
