Symbol,Company,Sector,Industry,Market_Cap,Net_Profit_Cr,ROCE_Pct,ROE_Pct,Debt_to_Equity,Latest_Q_Profit_Cr,Public_Holding_Pct,Is_Bank_Finance,Is_PSU,Is_Highest_Quarter,Passes_Criteria
AMBUJACEM,Ambuja Cements Limited,Basic Materials,Building Materials,1351583137792,4167.43,3.14,11.12,0.0183,787.88,32.12,False,False,False,False
AMDIND,AMD Industries Limited,Consumer Cyclical,Packaging & Containers,883970368,1.0,0.82,-1.96,0.5342,2.95,24.6,False,False,False,False
AMJLAND,AMJ Land Holdings Limited,Real Estate,Real Estate - Development,2105349888,20.47,7.06,9.02,0.0,4.83,27.77,False,False,False,False
AMNPLST,Amines & Plasticizers Limited,Basic Materials,Chemicals,10681582592,41.0,8.64,14.32,0.1132,6.17,10.97,False,False,False,False
AMRUTANJAN,Amrutanjan Health Care Limited,Healthcare,Drug Manufacturers - Specialty & Generic,18254598144,50.83,9.39,17.72,0.0056,13.96,44.88,False,False,False,False
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,Asset Management,261048565760,299.83,30.49,49.63,0.0991,93.62,44.55,True,False,False,False
ANANTRAJ,Anant Raj Limited,Real Estate,Real Estate - Development,205525712896,425.82,6.81,11.92,0.1273,138.12,29.63,False,False,False,False
ANDHRAPAP,Andhra Paper Limited,Basic Materials,Paper & Paper Products,13299100672,88.91,-0.45,1.06,0.1363,20.26,22.47,False,False,False,False
ANDHRSUGAR,The Andhra Sugars Limited,Basic Materials,Chemicals,9809487872,25.88,3.02,3.74,0.0043,32.67,56.45,False,False,False,False
ANGELONE,Angel One Limited,Financial Services,Capital Markets,219296006144,1172.08,4.26,14.08,0.7635,114.47,47.77,True,False,False,True
ANIKINDS,Anik Industries Limited,Consumer Defensive,Food Distribution,1354682880,3.1,0.34,0.38,0.047,0.28,20.16,False,False,False,False
ANKITMETAL,Ankit Metal & Power Limited,Basic Materials,Steel,242710064,98.75,0.0,0.0,0.0,0.0,28.98,False,False,False,False
ANMOL,Anmol India Limited,Energy,Thermal Coal,778364864,6.99,2.64,7.13,1.851,0.07,49.69,False,False,False,False
ANSALAPI,Ansal Properties & Infrastructure Limited,Real Estate,Real Estate - Development,513483552,43.92,0.0,0.0,0.0,165.47,12.78,False,False,False,False
