Symbol,TTM_Net_Profit,Max_Annual_Net_Profit,TTM_Net_Sales,Max_Annual_Net_Sales
DCM,-5.5,17.78,0.4,959.32
DCMFINSERV,-0.96,2.09,0.0,3.94
DCMNVL,7.0,123.0,1049.0,1081.0
DCMSHRIRAM,1452.0,1049.0,13355.0,13071.0
DCMSIL,-15.0,62.0,446.0,574.0
DCMSRIND,32.0,120.0,1160.0,2351.0
DCW,71.0,192.0,2210.0,2634.0
DCXINDIA,27.0,72.0,621.0,1423.0
DDEVPLSTIK,213.0,202.0,3168.0,2948.0
DECCANCE,6.0,115.0,704.0,799.0
DECNGOLD,3.46,-1.6,45.54,37.22
DEEDEV,60.0,56.0,987.0,919.0
DEEPAKFERT,251.0,413.0,1897.0,4243.0
DEEPAKNTR,223.0,544.0,2834.0,3034.0
DEEPINDS,106.0,104.0,702.0,703.0
DELHIVERY,293.0,325.0,10416.0,9847.0
DELPHIFX,,40.78,,9163.53
DELTACORP,-17.0,253.0,502.0,636.0
DELTAMAGNT,-7.3,23.51,66.9,90.84
DEN,105.0,283.0,1012.0,1240.0
DENORA,12.0,20.0,115.0,122.0
DENTA,53.0,61.0,242.0,250.0
DEVIT,74.0,74.0,159.0,162.0
DEVX,4.0,3.0,174.0,171.0
DEVYANI,-31.0,260.0,3654.0,3573.0
DGCONTENT,-9.29,-2.19,1.18,20.0
DHAMPURSUG,69.0,255.0,1997.0,3353.0
DHANBANK,115.0,103.0,1683.0,1601.0
DHANUKA,268.0,297.0,1953.0,2035.0
DHARAN,-35.0,20.0,6.0,129.0
DHARMAJ,60.0,55.0,1155.0,1138.0
DHRUV,-35.0,8.0,37.0,102.0
DHUNINV,-1.4,32.65,3.93,46.88
DIACABS,182.0,133.0,2348.0,2674.0
DIAMINESQ,-8.45,42.22,40.6,110.34
DIAMONDYD,12.0,53.0,1806.0,1725.0
DICIND,29.0,86.0,980.0,892.0
DIFFNKG,40.0,45.0,377.0,354.0
DIGIDRIVE,6.38,6.64,27.87,31.9
DIGISPICE,-5.75,8.92,0.0,156.64
DIGITIDE,7.0,94.0,1946.0,2067.0
DIGJAMLMTD,-1.14,8.94,36.79,132.47
DISAQ,51.0,54.0,410.0,425.0
