Symbol,Company Name,Sector,Industry,Market Cap,Net Profit (Cr),ROCE (%),ROE (%),Debt to Equity,Latest Quarter Profit (Cr),Last 3Q Profits (Cr),Public Holding (%),Is Bank/Finance,Is PSU,Passes Criteria,Screening Date
CASTROLIND,Castrol India Limited,Energy,Oil & Gas Refining & Marketing,183264591872,927.23,0.0,0.0,0.0402,244.0,"233.46, 271.39, 207.43",47.43,False,False,False,2026-01-16
PFOCUS,Prime Focus Limited,Communication Services,Entertainment,182474162176,377.11,3.66,-13.98,2.4644,3.6,"61.85, 230.97, 60.18",8.62,False,False,False,2026-01-16
KEC,KEC International Limited,Industrials,Engineering & Construction,181375369216,570.74,4.34,12.77,0.9407,160.75,"124.6, 268.19, 129.56",59.62,False,True,False,2026-01-16
NEULANDLAB,Neuland Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,180916289536,260.11,7.23,15.93,0.1633,96.85,"13.9, 27.81, 101.59",55.99,False,False,False,2026-01-16
CAMS,Computer Age Management Services Limited,Technology,Information Technology Services,180413087744,470.19,21.87,40.83,0.0639,109.09,"114.02, 125.49",96.24,False,False,True,2026-01-16
DCMSHRIRAM,DCM Shriram Limited,Industrials,Conglomerates,180384972800,604.27,5.34,10.28,0.3005,113.38,"178.91, 262.14, 62.92",24.8,False,False,False,2026-01-16
VENTIVE,VENTIVE,Consumer Cyclical,Lodging,178192236544,120.29,0.0,0.0,0.4218,52.57,"26.93, 127.88, 22.26",11.02,False,False,False,2026-01-16
GRINDWELL,Grindwell Norton Limited,Industrials,Building Products & Equipment,177174134784,368.72,8.81,17.53,0.0348,94.45,"92.54, 86.82, 96.19",41.69,False,False,False,2026-01-16
GMDCLTD,Gujarat Mineral Development Corporation Limited,Energy,Thermal Coal,176980656128,685.79,4.47,15.53,0.0414,465.75,"163.77, 226.22, 147.66",25.89,False,False,False,2026-01-16
ATUL,Atul Ltd,Basic Materials,Specialty Chemicals,176738861056,483.93,5.38,9.65,0.0314,127.77,"126.5, 108.74, 136.81",50.57,False,False,False,2026-01-16
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,Basic Materials,Agricultural Inputs,176347103232,1649.51,10.66,20.68,0.0102,548.96,"130.36, 534.42, 536.37",41.45,False,False,False,2026-01-16
BIKAJI,Bikaji Foods International Limited,Consumer Defensive,Packaged Foods,175339716608,200.85,8.16,14.02,0.1945,79.78,"59.9, 44.56, 28.57",26.09,False,True,False,2026-01-16
SARDAEN,Sarda Energy & Minerals Limited,Basic Materials,Steel,173248249856,699.82,8.53,16.2,0.3771,323.18,"434.36, 108.3, 197.36",17.99,False,False,False,2026-01-16
CGCL,Capri Global Capital Limited,Financial Services,Credit Services,172850954240,478.53,3.42,13.41,2.5155,174.9,"177.74, 128.08, 96.98",30.21,True,False,False,2026-01-16
GSPL,Gujarat State Petronet Limited,Utilities,Utilities - Regulated Gas,172499238912,1111.08,5.23,10.01,0.0088,260.77,"314.68, 220.3, 234.14",50.91,False,False,False,2026-01-16
KIRLOSENG,Kirloskar Oil Engines Limited,Industrials,Specialty Industrial Machinery,170092642304,489.15,6.84,15.65,1.6565,162.46,"141.88, 131.04, 71.3",57.09,False,False,False,2026-01-16
ABREL,Aditya Birla Real Estate Limited,Real Estate,Real Estate Services,169099984896,161.28,-0.83,-7.03,1.4458,25.47,"131.05, 40.59, 2.58",52.75,False,False,False,2026-01-16
GPIL,Godawari Power & Ispat Limited,Basic Materials,Steel,167064403968,811.67,10.26,15.15,0.0364,161.44,"215.96, 221.26, 144.78",34.59,False,False,False,2026-01-16
RRKABEL,R R Kabel Limited,Industrials,Electrical Equipment & Parts,166863110144,311.61,9.84,18.47,0.1678,89.77,"129.13, 68.57, 49.53",32.17,False,False,False,2026-01-16
POLYMED,Poly Medicure Limited,Healthcare,Medical Instruments & Supplies,166726221824,338.56,6.87,13.1,0.0817,91.84,"93.08, 91.83, 85.23",32.81,False,False,False,2026-01-16
PGEL,PG Electroplast Limited,Technology,Electronic Components,166674841600,287.8,6.2,12.58,0.2035,2.76,"66.98, 145.23, 39.54",57.92,False,False,False,2026-01-16
CENTURYPLY,Century Plyboards (India) Limited,Basic Materials,Lumber & Wood Production,166282182656,185.32,5.73,9.92,0.6614,68.9,"51.86, 52.47, 58.45",25.28,False,False,False,2026-01-16
EIDPARRY,E.I.D.- Parry (India) Limited,Basic Materials,Agricultural Inputs,165599494144,878.35,6.33,16.53,0.1839,424.41,"246.28, 286.52, 194.87",52.24,False,False,False,2026-01-16
JUBLPHARMA,Jubilant Pharmova Limited,Healthcare,Drug Manufacturers - Specialty & Generic,165490966528,839.4,4.29,7.59,0.4387,102.9,"153.6, 100.9, 102.8",40.09,False,False,False,2026-01-16
IFCI,IFCI Limited,Financial Services,Credit Services,163494297600,171.04,2.87,4.88,0.2263,142.96,"39.93, 227.28, 30.66",26.88,True,False,False,2026-01-16
VINATIORGA,Vinati Organics Limited,Basic Materials,Specialty Chemicals,163360391168,405.25,10.95,15.82,0.0,104.19,"123.04, 93.7, 104.36",24.68,False,False,False,2026-01-16
SOBHA,Sobha Limited,Real Estate,Real Estate - Development,163285991424,94.69,0.66,3.66,0.2304,13.62,"40.86, 21.68, 26.09",41.56,False,False,False,2026-01-16
COHANCE,COHANCE,Healthcare,Drug Manufacturers - Specialty & Generic,162954477568,267.87,3.26,5.51,0.1149,74.08,"48.82, 42.01, 82.88",35.76,False,False,False,2026-01-16
DEVYANI,Devyani International Limited,Consumer Cyclical,Restaurants,162899427328,9.15,2.34,-2.55,1.7071,3.69,"14.74, 0.49, 0.02",36.01,False,True,False,2026-01-16
ZENSARTECH,Zensar Technologies Limited,Technology,Information Technology Services,162635481088,649.8,9.41,17.54,0.0274,182.0,"176.4, 159.8, 155.7",61.19,False,False,False,2026-01-16
CPPLUS,CPPLUS,Industrials,Building Products & Equipment,162539864064,351.37,0.0,0.0,0.0804,69.97,233.71,14.37,False,False,False,2026-01-16
